geography,age,dt,norm_visits
KY,25_34,22/09/2020,"1,889,203"
KY,25_34,02/09/2020,"1,849,518"
ME,35_44,31/05/2020,"375,495"
UT,25_34,30/04/2020,"1,099,649"
UT,25_34,28/02/2020,"1,518,981"
IA,35_44,30/07/2020,"1,090,104"
NH,65_plus,12/03/2020,"509,496"
OK,25_34,04/05/2020,"1,359,007"
MO,65_plus,06/08/2020,"2,245,119"
MS,65_plus,10/06/2020,"973,513"
AK,25_34,25/08/2020,"399,149"
NV,55_64,28/02/2020,"1,629,983"
ME,18_24,11/08/2020,"371,816"
NM,65_plus,24/02/2020,"714,478"
AZ,18_24,15/09/2020,"1,683,452"
NE,65_plus,28/02/2020,"638,466"
SD,18_24,06/07/2020,"265,882"
SD,18_24,03/03/2020,"213,196"
WA,18_24,05/04/2020,"1,174,850"
